//如果你抓包或破解获取到了直播源，请自用，别公开，以防止人数过多拥挤卡顿.谢谢！//
🇨🇳央卫V4,#genre#
CCTV-1综合,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000501$福建移动
CCTV-2财经,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000502$福建移动
CCTV-4国际,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000503$福建移动
CCTV-5+赛事,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000507$福建移动
CCTV-7军事,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000504$福建移动
CCTV-9纪录,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000505$福建移动
CCTV-10科教,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000506$福建移动
CCTV-11戏曲,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000508$福建移动
CCTV-12社法,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000509$福建移动
CCTV-13新闻,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000510$福建移动
CCTV-14少儿,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000511$福建移动
CCTV-15音乐,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000512$福建移动
CCTV-17农村,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000513$福建移动
安徽卫视,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000514$福建移动
北京卫视,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000516$福建移动
重庆卫视,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000517$福建移动
上海卫视,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000518$福建移动
福建卫视,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000519$福建移动
广东卫视,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000520$福建移动
黑龙江卫视,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000521$福建移动
