📢重要公告📢,#genre#
📢所有资源,https://vd3.bdstatic.com/mda-pmr08xak9uh2c8f8/sc/bd265_cae_roi_v6/1703799114073392432/mda-pmr08xak9uh2c8f8.mp4
💐源于网络,https://vd3.bdstatic.com/mda-qe0xefpwh9nuhqw5/sc/bd265_cae_visr_v6/1715785379750217260/mda-qe0xefpwh9nuhqw5.mp4
💐在线更新,https://vd3.bdstatic.com/mda-qjt9rsq1scgswwgs/720p/bd265_cae_roi_v7/1730099693964253352/mda-qjt9rsq1scgswwgs.mp4
🎉免费测试,https://vd3.bdstatic.com/mda-pmtxtm19gnics7y0/sc/bd265_cae_roi_v6/1703848963097886468/mda-pmtxtm19gnics7y0.mp4
🎉严禁商用,https://vd3.bdstatic.com/mda-pmr08xak9uh2c8f8/sc/bd265_cae_roi_v6/1703799114073392432/mda-pmr08xak9uh2c8f8.mp4
🎉禁止买卖,https://vd3.bdstatic.com/mda-qa42tyxnqakesi48/sc/bd265_cae_roi_v6/1704420849457423285/mda-qa42tyxnqakesi48.mp4
👉设置路由器,https://txmov2.a.kwimgs.com/upic/2022/03/21/19/BMjAyMjAzMjExOTA2MjRfMjYyNzI4Mjc4MV83MDE2MTEwMjY1Ml8yXzM=_b_B977559109a6b2bec30b01e11d458d398.mp4
👉开启ipv6网络,https://vd3.bdstatic.com/mda-qcnhc9pcq3dhrreu/default/bd265_cae_roi_v6/1711197070934641369/mda-qcnhc9pcq3dhrreu.mp4
👉观看V6线路,https://vdse.bdstatic.com//fbbd25c517d1ba56b3ecbfb16c27d7e9.mp4
👉享受高清影视,https://vd3.bdstatic.com/mda-qjp6jc5qd1t0s7k7/720p/bd265_cae_visr_v7/1729747417368212139/mda-qjp6jc5qd1t0s7k7.mp4
💐感谢你陪我一程,https://vd3.bdstatic.com/mda-qj91v6k3eysrk3jc/sc/bd265_cae_roi_v6/1728524548210051200/mda-qj91v6k3eysrk3jc.mp4
💃抖音姐姐热舞,https://vd3.bdstatic.com/mda-pm59vs35hc1xpf97/sc/cae_h264_mcsic/1701898696264891171/mda-pm59vs35hc1xpf97.mp4
让我爱你到永远,https://vd3.bdstatic.com/mda-qjt9rsq1scgswwgs/720p/bd265_cae_roi_v7/1730099693964253352/mda-qjt9rsq1scgswwgs.mp4
做一个有良心的人,https://vd3.bdstatic.com/mda-qjp6jc5qd1t0s7k7/720p/bd265_cae_visr_v7/1729747417368212139/mda-qjp6jc5qd1t0s7k7.mp4
恒大歌舞精彩表演，配曲《甜蜜哥妹情》,https://vd3.bdstatic.com/mda-qh6ym2me7r9x46rc/sc/bd265_cae_visr_v6/1723076849441992601/mda-qh6ym2me7r9x46rc.mp4
恒大歌舞精彩表演，配曲《男情女爱》,https://vd3.bdstatic.com/mda-qhax6bq6684c861a/sc/bd265_cae_visr_v6/1723414774201853637/mda-qhax6bq6684c861a.mp4
恒大歌舞精彩表演，配曲《妹妹的相思酒》,https://vd3.bdstatic.com/mda-qh0x7sid7qyctkd0/sc/bd265_cae_visr_v6/1722552871825229249/mda-qh0x7sid7qyctkd0.mp4
恒大歌舞精彩表演，配曲《远方的朋友我想你》,https://vd3.bdstatic.com/mda-qh1xqn06unmpaqyw/sc/bd265_cae_visr_v6/1722639477948453960/mda-qh1xqn06unmpaqyw.mp4
恒大歌舞精彩表演，配曲《来生再去拥抱你》,https://vd3.bdstatic.com/mda-qh8x4nm6ruvtgmrf/sc/bd265_cae_visr_v6/1723249404270907904/mda-qh8x4nm6ruvtgmrf.mp4
恒大歌舞精彩配曲《桃花树下唱情歌》,https://vd3.bdstatic.com/mda-qis272bvvxddrxzj/sc/wz265_v3/1727423050914926550/mda-qis272bvvxddrxzj.mp4
恒大歌舞精彩配曲《带着哥哥唱情歌》,https://vd3.bdstatic.com/mda-qh82hg2huvud7te1/sc/bd265_cae_visr_v6/1725844641254140332/mda-qh82hg2huvud7te1.mp4
你做了我梦里的人,https://vd3.bdstatic.com/mda-qk359hd9t9bqg7xh/720p/bd265_cae_visr_v7/1730780230457395345/mda-qk359hd9t9bqg7xh.mp4
我把来生许给你,https://vd3.bdstatic.com/mda-qk03pihpjx360pnw/720p/bd265_cae_visr_v7/1730524455878149787/mda-qk03pihpjx360pnw.mp4
我最思念的人你在哪里,https://vd3.bdstatic.com/mda-qim28nim6v2a8s3u/sc/bd265_cae_visr_v6/1726973341916478962/mda-qim28nim6v2a8s3u.mp4
奈何桥上哭一场,https://vd3.bdstatic.com/mda-qjb9xf14260v7k7p/720p/bd265_cae_visr_v7/1729984445704720608/mda-qjb9xf14260v7k7p.mp4
谁的生活没有眼泪,https://vd3.bdstatic.com/mda-qir9km4pc260fnjs/sc/bd265_cae_roi_v6/1727339090396542158/mda-qir9km4pc260fnjs.mp4
活在世上就要快乐,https://vd3.bdstatic.com/mda-qj76m9ss78ha1zud/sc/bd265_cae_visr_v6/1728469923364253968/mda-qj76m9ss78ha1zud.mp4
《不要走不要走》,https://vd3.bdstatic.com/mda-qgi1gyh9466q2nqj/sc/bd265_cae_visr_v6/1721603287935672973/mda-qgi1gyh9466q2nqj.mp4
人生有苦也有甜,https://vd3.bdstatic.com/mda-pcbc00cqn0rv1ny5/sc/cae_h264/1678610037654430024/mda-pcbc00cqn0rv1ny5.mp4


🇨🇳央卫V4,#genre#

CCTV-1综合,http://43.248.128.135:35455/gaoma/cctv1.m3u8
CCTV-1综合,http://43.248.128.135:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-2财经,http://43.248.128.135:35455/gaoma/cctv2.m3u8
CCTV-2财经,http://43.248.128.135:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-3综艺,http://43.248.128.135:35455/gaoma/cctv3.m3u8
CCTV-3综艺,http://43.248.128.135:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-4国际,http://43.248.128.135:35455/gaoma/cctv4.m3u8
CCTV-4国际,http://43.248.128.135:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-5体育,http://43.248.128.135:35455/gaoma/cctv5.m3u8
CCTV-5+赛事,http://43.248.128.135:35455/gaoma/cctv5p.m3u8
CCTV-5体育,http://43.248.128.135:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5+赛事,http://43.248.128.135:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-6电影,http://43.248.128.135:35455/gaoma/cctv6.m3u8
CCTV-6电影,http://43.248.128.135:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV-7军事,http://43.248.128.135:35455/gaoma/cctv7.m3u8
CCTV-7军事,http://43.248.128.135:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV-8电视,http://43.248.128.135:35455/gaoma/cctv8.m3u8
CCTV-8电视,http://43.248.128.135:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV-9纪录,http://43.248.128.135:35455/gaoma/cctv9.m3u8
CCTV-9纪录,http://43.248.128.135:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV-10科教,http://43.248.128.135:35455/gaoma/cctv10.m3u8
CCTV-10科教,http://43.248.128.135:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV-11戏曲,http://43.248.128.135:35455/gaoma/cctv11.m3u8
CCTV-11戏曲,http://43.248.128.135:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV-12社法,http://43.248.128.135:35455/gaoma/cctv12.m3u8
CCTV-12社法,http://43.248.128.135:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-13新闻,http://43.248.128.135:35455/gaoma/cctv13.m3u8
CCTV-14少儿,http://43.248.128.135:35455/gaoma/cctv14.m3u8
CCTV-14少儿,http://43.248.128.135:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-15音乐,http://43.248.128.135:35455/gaoma/cctv15.m3u8
CCTV-15音乐,http://43.248.128.135:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV-16奥匹,http://43.248.128.135:35455/gaoma/cctv16.m3u8
CCTV-16奥匹,http://43.248.128.135:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-17农村,http://43.248.128.135:35455/gaoma/cctv17.m3u8
CCTV-17农村,http://43.248.128.135:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CCTV4K超高清,http://43.248.128.135:35455/gaoma/cctv4k.m3u8
CCTV8K超高清,http://43.248.128.135:35455/gaoma/cctv8k_36m.m3u8
北京卫视,http://43.248.128.135:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
上海卫视,http://43.248.128.135:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
浙江卫视,http://43.248.128.135:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
江苏卫视,http://43.248.128.135:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
湖南卫视,http://43.248.128.135:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
广东卫视,http://43.248.128.135:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
深圳卫视,http://43.248.128.135:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视,http://43.248.128.135:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
安徽卫视,http://43.248.128.135:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
山东卫视,http://43.248.128.135:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
辽宁卫视,http://43.248.128.135:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
江西卫视,http://43.248.128.135:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
湖北卫视,http://43.248.128.135:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
重庆卫视,http://43.248.128.135:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
福建卫视,http://43.248.128.135:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
青海卫视,http://43.248.128.135:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
黑龙卫江视,http://43.248.128.135:35455/itv/1000000001000001925.m3u8?cdn=ystenlive

CCTV-1综合,http://8.138.47.46:35455/gaoma/cctv1.m3u8
CCTV-2财经,http://8.138.47.46:35455/gaoma/cctv2.m3u8
CCTV-3综艺,http://8.138.47.46:35455/gaoma/cctv3.m3u8
CCTV-4国际,http://8.138.47.46:35455/gaoma/cctv4.m3u8
CCTV-5体育,http://8.138.47.46:35455/gaoma/cctv5.m3u8
CCTV-5+赛事,http://8.138.47.46:35455/gaoma/cctv5p.m3u8
CCTV-6电影,http://8.138.47.46:35455/gaoma/cctv6.m3u8
CCTV-7军事,http://8.138.47.46:35455/gaoma/cctv7.m3u8
CCTV-8电视,http://8.138.47.46:35455/gaoma/cctv8.m3u8
CCTV-9纪录,http://8.138.47.46:35455/gaoma/cctv9.m3u8
CCTV-10科教,http://8.138.47.46:35455/gaoma/cctv10.m3u8
CCTV-11戏曲,http://8.138.47.46:35455/gaoma/cctv11.m3u8
CCTV-12社法,http://8.138.47.46:35455/gaoma/cctv12.m3u8
CCTV-13新闻,http://8.138.47.46:35455/gaoma/cctv13.m3u8
CCTV-14少儿,http://8.138.47.46:35455/gaoma/cctv14.m3u8
CCTV-15音乐,http://8.138.47.46:35455/gaoma/cctv15.m3u8
CCTV-16奥匹,http://8.138.47.46:35455/gaoma/cctv16.m3u8
CCTV-17农村,http://8.138.47.46:35455/gaoma/cctv17.m3u8
CCTV4k超高清,http://8.138.47.46:35455/gaoma/cctv4k.m3u8
CCTV8k超高清,http://8.138.47.46:35455/gaoma/cctv8k_36m.m3u8
CCTV-1综合,http://tv.iamok2024.fun:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-2财经,http://tv.iamok2024.fun:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-3综艺,http://tv.iamok2024.fun:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-4国际,http://tv.iamok2024.fun:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-5体育,http://tv.iamok2024.fun:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5+赛事,http://tv.iamok2024.fun:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-6电影,http://tv.iamok2024.fun:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV-7军事,http://tv.iamok2024.fun:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV-8电视,http://tv.iamok2024.fun:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV-9纪录,http://tv.iamok2024.fun:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV-10科教,http://tv.iamok2024.fun:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV-11戏曲,http://tv.iamok2024.fun:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV-12社法,http://tv.iamok2024.fun:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-14少儿,http://tv.iamok2024.fun:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-15音乐,http://tv.iamok2024.fun:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV-16奥匹,http://tv.iamok2024.fun:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-17农村,http://tv.iamok2024.fun:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CHC动作电影,https://ali.hlspull.yximgs.com/live/diyp_chcdongzuo.flv
CHC家庭影院,https://ali.hlspull.yximgs.com/live/diyp_chcjiating.flv
CHC影迷电影,https://ali.hlspull.yximgs.com/live/diyp_chcyingmi.flv
北京卫视,http://tv.iamok2024.fun:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
上海卫视,http://tv.iamok2024.fun:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
浙江卫视,http://tv.iamok2024.fun:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
江苏卫视,http://tv.iamok2024.fun:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
湖南卫视,http://tv.iamok2024.fun:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
广东卫视,http://tv.iamok2024.fun:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
深圳卫视,http://tv.iamok2024.fun:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视,http://tv.iamok2024.fun:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
安徽卫视,http://tv.iamok2024.fun:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
山东卫视,http://tv.iamok2024.fun:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
辽宁卫视,http://tv.iamok2024.fun:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
江西卫视,http://tv.iamok2024.fun:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
湖北卫视,http://tv.iamok2024.fun:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
重庆卫视,http://tv.iamok2024.fun:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
福建卫视,http://tv.iamok2024.fun:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
青海卫视,http://tv.iamok2024.fun:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
黑龙江卫视,http://tv.iamok2024.fun:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
CCTV-1综合,http://b.zgjok.com:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-2财经,http://b.zgjok.com:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-3综艺,http://b.zgjok.com:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-4国际,http://b.zgjok.com:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-5体育,http://b.zgjok.com:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5+赛事,http://b.zgjok.com:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-6电影,http://b.zgjok.com:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV-7军事,http://b.zgjok.com:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV-8电视,http://b.zgjok.com:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV-9纪录,http://b.zgjok.com:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV-10科教,http://b.zgjok.com:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV-11戏曲,http://b.zgjok.com:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV-12社法,http://b.zgjok.com:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-14少儿,http://b.zgjok.com:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-15音乐,http://b.zgjok.com:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV-16奥匹,http://b.zgjok.com:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-17农村,http://b.zgjok.com:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
北京卫视,http://b.zgjok.com:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
上海卫视,http://b.zgjok.com:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
浙江卫视,http://b.zgjok.com:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
江苏卫视,http://b.zgjok.com:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
湖南卫视,http://b.zgjok.com:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
广东卫视,http://b.zgjok.com:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
深圳卫视,http://b.zgjok.com:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视,http://b.zgjok.com:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
安徽卫视,http://b.zgjok.com:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
山东卫视,http://b.zgjok.com:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
辽宁卫视,http://b.zgjok.com:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
江西卫视,http://b.zgjok.com:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
湖北卫视,http://b.zgjok.com:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
重庆卫视,http://b.zgjok.com:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
福建卫视,http://b.zgjok.com:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
青海卫视,http://b.zgjok.com:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
黑龙江视,http://b.zgjok.com:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
CCTV-1综合,http://tv.kmhlzxs.top:35455/gaoma/cctv1.m3u8
CCTV-2财经,http://tv.kmhlzxs.top:35455/gaoma/cctv2.m3u8
CCTV-3综艺,http://tv.kmhlzxs.top:35455/gaoma/cctv3.m3u8
CCTV-4国际,http://tv.kmhlzxs.top:35455/gaoma/cctv4.m3u8
CCTV-5体育,http://tv.kmhlzxs.top:35455/gaoma/cctv5.m3u8
CCTV-5+赛事,http://tv.kmhlzxs.top:35455/gaoma/cctv5p.m3u8
CCTV-6电影,http://tv.kmhlzxs.top:35455/gaoma/cctv6.m3u8
CCTV-7军事,http://tv.kmhlzxs.top:35455/gaoma/cctv7.m3u8
CCTV-8电视,http://tv.kmhlzxs.top:35455/gaoma/cctv8.m3u8
CCTV-9纪录,http://tv.kmhlzxs.top:35455/gaoma/cctv9.m3u8
CCTV-10科教,http://tv.kmhlzxs.top:35455/gaoma/cctv10.m3u8
CCTV-11戏曲,http://tv.kmhlzxs.top:35455/gaoma/cctv11.m3u8
CCTV-12社法,http://tv.kmhlzxs.top:35455/gaoma/cctv12.m3u8
CCTV-13新闻,http://tv.kmhlzxs.top:35455/gaoma/cctv13.m3u8
CCTV-14少儿,http://tv.kmhlzxs.top:35455/gaoma/cctv14.m3u8
CCTV-15音乐,http://tv.kmhlzxs.top:35455/gaoma/cctv15.m3u8
